Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
21_04_30 21:19:31.998;301;O;1;1A;1DAD;56;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a7067
21_04_30 21:19:37.831;302;I;2;1;4216;66;;090007000d00010000000000d7ff00001a0000000000fdfffdfffdfffdff00200800cc1ed319010065748c605a04040299921e19720e67748c60384c03001a00dc1e
21_04_30 21:19:37.831;303;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:19:41.694;305;O;1;1A;1DAD;56;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a7067
21_04_30 21:19:49.462;307;O;1;1A;1DAD;56;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a7067
21_04_30 21:19:58.737;309;O;1;1A;1DAD;56;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a7067
21_04_30 21:20:04.904;311;O;1;1A;1DAD;56;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a7067
21_04_30 21:20:24.931;313;O;1;1A;1DAD;56;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a7067
21_04_30 21:20:33.557;193;O;1;4;  2A;0;ERR;
21_04_30 21:20:35.998;315;O;1;4;  2A;0;ERR;
21_04_30 21:20:38.102;317;O;1;4;  2A;0;ERR;
21_04_30 21:20:40.880;319;O;1;4;  2A;0;ERR;
21_04_30 21:20:53.144;146;O;1;2;4204;4;ERR;60090000
21_04_30 21:20:59.000;323;O;1;2;4204;4;ERR;60090000
21_04_30 21:21:05.705;325;O;1;2;4204;4;ERR;60090000
21_04_30 21:21:07.307;327;O;1;2;4204;4;ERR;60090000
21_04_30 21:21:08.911;329;O;1;2;4204;4;ERR;60090000
