Date and time[ms],Stamp,"Direction[In, Out, Undefined]",Source,Destination,Message Id,Length,Status for Tx,Data
21_04_29 21:21:13.165,122,I,2,1,4216,66,00000000,890448050e154804b20087001e0000001a0000000000080007000700080000300000dc1e57a9000045238b605a04110f978c1e19720e46238b606cfb01001a00f81e
21_04_29 21:21:13.165,123,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_29 21:21:55.351,127,I,2,1,FFF0,72,00000000,0d0a323032312d30342d32365f312e62696e09095b303030315d2073697a653a3130380d0a323032312d30342d32365f322e62696e09095b303037665d2073697a653a38360d0a0d
21_04_29 21:21:57.258,128,I,2,1,FFF0,35,00000000,0a09546f74616c20627974657320333930353631392c2075736564203439320d0a0d23
21_04_29 21:22:10.392,129,I,2,1,FFF0,1,00000000,43
21_04_29 21:22:11.049,130,I,2,1,FFF0,1,00000000,15
21_04_29 21:22:15.731,131,I,2,1,FFF0,2,00000000,0643
21_04_29 21:22:18.843,132,I,2,1,FFF0,1,00000000,15
21_04_29 21:22:19.507,133,I,2,1,FFF0,1,00000000,06
21_04_29 21:22:27.080,134,I,2,1,FFF0,1,00000000,15
21_04_29 21:22:30.249,135,I,2,1,FFF0,1,00000000,06
